Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
2,ZerosLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,46,47,1.980,1783561410532844.568	,1783561410532846.548	
2,solve_tril_16x16_kernel_paral_v3_0,AI_VECTOR_CORE,46,48,195.643,1783561410608526.140	,1783561410608721.784	
2,ZerosLike_5c5e58e043224cccf51a06108010ae13_high_performance_210010000,AI_VECTOR_CORE,46,49,15.880,1783561410610420.938	,1783561410610436.818	
2,merge_16x16_to_32x32_inverse_kernel_0,MIX_AIC,46,50,236.984,1783561410618234.774	,1783561410618471.759	
2,ZerosLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210010000,AI_VECTOR_CORE,46,51,16.040,1783561410618472.559	,1783561410618488.599	
2,merge_32x32_to_64x64_inverse_kernel_0,MIX_AIC,46,52,125.102,1783561410625814.766	,1783561410625939.868	
2,Transpose_9a632dc5b6be9e1b4215e3cf2b1aff0d_high_performance_13,AI_VECTOR_CORE,46,53,13.120,1783561410625940.888	,1783561410625954.008	
2,Transpose_be837fe498fad076d01c0ce8dfd3d014_high_performance_13,AI_VECTOR_CORE,46,54,16.800,1783561410626027.830	,1783561410626044.630	
2,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210000000,AI_VECTOR_CORE,46,55,7.720,1783561410626817.706	,1783561410626825.426	
2,Transpose_be837fe498fad076d01c0ce8dfd3d014_high_performance_5,AI_VECTOR_CORE,46,56,36.600,1783561410626899.727	,1783561410626936.328	
2,RecomputeWUFwd_db1266119f353de0ebc225d450c249d8_1,MIX_AIC,46,57,222.424,1783561410629163.272	,1783561410629385.697	
2,ZerosLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210010000,AI_VECTOR_CORE,46,58,52.201,1783561410630157.932	,1783561410630210.133	
2,ChunkGatedDeltaRuleFwdH_fc2a70c4a72e8f2b344fa13de449cc34_0,MIX_AIC,46,59,354.827,1783561410632570.661	,1783561410632925.488	
2,ChunkFwdO_d4fc774159b2651ab5cc995d4a7d029b_0,MIX_AIC,46,60,248.544,1783561410634010.069	,1783561410634258.614	
2,Transpose_9a632dc5b6be9e1b4215e3cf2b1aff0d_high_performance_13,AI_VECTOR_CORE,46,61,13.400,1783561410634259.414	,1783561410634272.815	
2,Transpose_be837fe498fad076d01c0ce8dfd3d014_high_performance_5,AI_VECTOR_CORE,46,62,50.021,1783561410634272.835	,1783561410634322.856	
2,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210010000,AI_VECTOR_CORE,46,63,25.760,1783561410634613.641	,1783561410634639.402	
2,IsFinite_b7bc55b48bdf94d74b955b3c42bf74f0_high_performance_2590,AI_VECTOR_CORE,46,64,56.021,1783561410637086.371	,1783561410637142.392	
2,ReduceAll_4f12aca806ed482b082e86983ec4bb6f_high_performance_1100400,MIX_AIV,46,65,27.580,1783561410653784.484	,1783561410653812.065	
2,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210010000,AI_VECTOR_CORE,46,66,20.880,1783561410654322.075	,1783561410654342.956	
2,Pows_87754663653454355677y73521552341_high_performance_301,AI_VECTOR_CORE,46,67,42.780,1783561410657613.061	,1783561410657655.842	
2,ReduceMean_483c206567cda955ff1cdfd62744bc74_high_precision_61100400,MIX_AIV,46,68,35.740,1783561410657825.685	,1783561410657861.426	
